8 0
0.0 0.065 0.065 0.0  0.0  0.065 0.065 0.0
0.0 0.0   0.06  0.06 0.0  0.0   0.06  0.06
0.0 0.0   0.0   0.0  0.07 0.07  0.07  0.07
