9 0
0.152400 -0.15240 -0.15240 0.152400  0.0809625 -0.0809625 0.0809625 -0.0809625 0.00000
-0.72390 -0.72390 0.723900 0.723900  0.0000000 0.00000000 -0.787400 -0.7874000 0.82550
-0.23495 -0.23495 -0.23495 -0.23495  0.0190500 0.01905000 0.2349500 0.23495000 0.23495


