8 0
0.0 0.065 0.065 0.0  0.0  0.065 0.065 0.0
0.0 0.0   0.04  0.04 0.0  0.0   0.04  0.04
0.0 0.0   0.0   0.0  0.13 0.13  0.13  0.13
